"motherCort","predicted","std.error","conf.low","conf.high","group"
20,-0.083588768802574,0.0534289307817745,-0.189067372730575,0.0218898351254267,"1"
30,-0.0935015866987685,0.040326328804909,-0.173113227838596,-0.0138899455589409,"1"
40,-0.103414404594963,0.0293063557000391,-0.161270578024359,-0.0455582311655672,"1"
50,-0.113327222491158,0.0235074395264647,-0.159735261486001,-0.0669191834963138,"1"
60,-0.123240040387352,0.0265974525265329,-0.175748337287371,-0.0707317434873333,"1"
70,-0.133152858283547,0.0363776962966259,-0.204969167600255,-0.0613365489668386,"1"
80,-0.143065676179741,0.0489932304909109,-0.239787386281169,-0.0463439660783134,"1"
90,-0.152978494075936,0.0627568643190455,-0.276872166257186,-0.0290848218946853,"1"
100,-0.16289131197213,0.0770558170647762,-0.31501376491286,-0.0107688590314001,"1"
110,-0.172804129868325,0.0916398461752257,-0.353718157106107,0.00810989736945786,"1"
